Variable Names,image,English Short Name,English,Spanish,Portuguese (Brazilian),Vietnamese,French,Korean,Amharic,Burmese,Arabic,Mandarin Chinese
are_you_in_pain,n_are_you_in_pain,Are you in pain?,Are you in pain now?,¿Le duele ahora?,Você está sentindo dor?,Bây giờ quý vị có đau không?,Avez-vous mal maintenant?,지금 아프십니까?,በአሁኑ ሰዓት ህመም ላይ ነዎት?,သင်အခု နာကျင်နေပါသလား။,هل تعاني من أي ألم الآن؟,您现在有感觉到疼痛吗？
assessing_by_touching,n_assessing_by_touching,Assess by gently touching,I going to assess you by gently touching,Voy a tocarle para ver si todo esta bien.,Estou avaliando pelo toque,Tôi sẽ đánh giá quý vị bằng cách chạm nhẹ.,Je vais vous évaluer en vous touchant doucement.,살짝 만져보면서 평가를 하겠습니다.,በእርጋታ በመንካት ልገመግምዎት ነው።,ညင်သာစွာ ထိတွေ့ပြီး စစ်ဆေးအကဲဖြတ်ပါမယ်။,سأقيِّمك باللمس الخفيف.,我会通过轻触对您进行评估。
assessing_monitor,n_assessing_monitor,Assessing monitor,I am assessing the monitor.,Voy a chequear el monitor,Estou avaliando o monitor,Tôi đang đánh giá màn hình theo dõi.,J'évalue le moniteur.,모니터를 측정하겠습니다,እየገመገምኩ ነው።,ကွန်ပျူတာမျက်နှာပြင်ကို စောင့်ကြည့်အကဲဖြတ်နေပါတယ်။,أنا  أقيّم المراقب.,我正在评估显示器所示内容。
belt,n_belt,Use gait belt,Please use the gait belt when helping your child move out of bed,Por favor use el cinturón de andar para ayudar a su hijo/a a levantarse de la cama,Por favor use o cinto de segurança ao ajudar seu filho a sair da cama,Vui lòng sử dụng dây đai hỗ trợ bệnh nhân di chuyển khi giúp con quý vị di chuyển ra khỏi giường.,Veuillez utiliser la ceinture de marche lorsque vous aidez votre enfant à sortir du lit.,아이를 도와 침대 밖으로 나오게 할 때는 이동보조 벨트를 사용하십시오.,እባክዎ ልጅዎን ከአልጋው እንዲወጣ ሲረዱ የመራመጃ ቀበቶውን ይጠቀሙ።,သင့်ကလေးကို အိပ်ရာထဲက ရွှေ့ဖို့ ကူညီပေးတဲ့အခါ လမ်းလျှောက်ခါးပတ်ကို အသုံးပြုပါ။,يُرجى استخدام حزام المشي عند مساعدة طفلك على النهوض من السرير.,帮孩子下床时，请使用步态带。
call_interpreter,interpreter_icon_n,Calling Interpreter,I am calling the interpreter.,Voy a llamar a un intérprete.,Estou chamando o intérprete,Tôi đang gọi thông dịch viên.,J’appelle l’interprète.,통역사를 부르겠습니다.,አስተርጓሚውን እየጠራሁ ነው።,စကားပြန်ကို ခေါ်နေပါတယ်။,أنا أطلب المترجم الشفوي.,我正在打电话给口译员。
change_bedsheet,n_change_bedsheet,Changing bed sheets,I am changing bed sheets.,Voy a cambiar las sábanas,Estou trocando os lençóis,Tôi đang thay ga trải giường.,Je change les draps du lit.,침대 시트를 교체하겠습니다.,የአልጋ አንሶላ እየቀየርኩ ነው።,အိပ်ယာခင်းတွေ လဲနေပါတယ်။,أنا أُغيِّر ملاءات السرير.,我正在换床单。
changing_bandages,n_changing_bandages,Changing bandages,I am changing bandages.,Voy a cambiar los vendajes,Estou trocando os curativos,Tôi đang thay băng.,Je change les pansements.,붕대를 바꾸겠습니다.,ፋሻውን እየቀየርኩ ነው።,ပတ်တီးတွေ လဲနေပါတယ်။,أنا أُغير الضمادات.,我正在更换绷带。
changing_diaper,n_changing_diaper,Changing diaper,I am changing the diaper,Voy a cambiar el pañal,Estou trocando a fralda,Tôi đang thay tã.,Je change la couche.,기저귀를 교체하겠습니다.,ዳይፐር እየቀየርኩ ነው።,သေးခံ (diaper) လဲနေပါတယ်။,أنا أُغير الحفاض.,我正在换尿布。
changing_IV_bag,n_changing_iv,Changing IV bag,I am changing the IV bag.,Voy a cambiar la bolsa de la vía intravenosa,Estou trocando a bolsa de soro,Tôi đang thay cái túi.,Je change la poche de la perfusion.,정맥주사(IV) 백을 교체하겠습니다.,እኔ የ IVውን ቦርሳ እየቀየርኩ ነው።,အကြောဆေးသွင်းရန်အိတ်ကို လဲနေတယ်။,أنا أُغيّر كيس الدواء الوريدي.,我正在更换静脉注射袋。
checking_blood_pressure,n_checking_blood_pressure,Checking BP,I am checking patient’s blood pressure.,Voy a chequear la presión sanguínea del paciente,Estou verificando a pressão arterial,Tôi đang đo huyết áp của bệnh nhân.,Je vérifie la tension artérielle du patient.,환자의 혈압을 확인하겠습니다.,የታካሚውን የደም ግፊት እየፈተሽኩ ነው።,လူနာရဲ့ သွေးပေါင်ချိန်ကို စစ်ဆေးနေပါတယ်။,أنا أتحقق من ضغط دم المريض.,我正在检查患者的血压。
