Variable Names,English,Spanish,Portuguese (Brazilian),Vietnamese,French,Korean,Amharic,Burmese,Arabic,Mandarin Chinese
this_is_normal,This is normal.,Esto es normal.,Isso é normal.,Việc này là bình thường.,C'est normal.,정상입니다.,ይህ የተለመደ ነው።,ဒါက ပုံမှန်ပါပဲ။,هذا طبيعي.,这很正常。
i_am_done,I am done!,¡Ya acabé!,Acabei!,Tôi đã làm xong!,C'est fait!,다 됐습니다!,ጨርሻለሁ!,ကျွန်ုပ်ပြီးသွားပါပြီ!,انتهيت!,已完成！
how_are_you_feeling,How are you feeling?,¿Cómo se siente?,Como está se sentindo?,Quý vị cảm thấy như thế nào?,Comment vous sentez-vous?,상태는 어떠십니까?,ምን ይሰማዎታል?,သင်ဘယ်လိုခံစားရပါသလဲ။,كيف تشعر؟,您感觉如何？
everything_is_okay,Everything is okay.,Todo está bien.,Tudo está em ordem.,Mọi thứ đều ổn.,Tout va bien.,모두 괜찮습니다.,ሁሉም ነገር ደህና ነው።,အားလုံးအဆင်ပြေပါတယ်။,كل شيء على ما يرام.,一切正常。
this_shouldnt_hurt,This shouldn't hurt.,Esto no debería doler.,Não deve machucar.,Làm như thế này sẽ không gây đau.,Cela ne devrait pas faire mal.,이것은 아프지 않습니다.,ይህ ማሳመም የለበትም።,ဒါက မနာကျင်နိုင်ပါဘူး။,ينبغي ألا تشعر بألم.,这不会疼的。
here_is_the_menu,Here is the menu.,Aquí está el menú.,Aqui está o cardápio.,Đây là thực đơn.,Voici le menu.,여기 메뉴가 있습니다.,ዝርዝሩን እነሆ።,မီနူး (menu) ဒီမှာပါ။,إليك القائمة.,这是菜单。
_have_you_eaten,Have you eaten?,¿Ha comido?,Comeu alguma coisa?,Quý vị đã ăn chưa?,Avez-vous mangé?,식사를 하셨습니까?,በልተዋል?,စားပြီးပြီလား။,هل أكلت؟,您吃了吗？
_what_have_you_eaten,What have you eaten?,¿Qué ha comido?,O que comeu?,Quý vị đã ăn gì?,Qu'avez-vous mangé?,무엇을 드셨습니까?,ምን በልተዋል?,သင်ဘာစားပြီးပြီလဲ။,ماذا أكلت؟,您吃的什么？
have_you_drank,Have you drank?,¿Ha bebido?,Bebeu alguma coisa?,Quý vị đã uống chưa?,Avez-vous bu?,술을 드셨습니까?,ጠጥተዋል?,သောက်ပြီးပြီလား။,هل شربت؟,您是否喝了水或者饮料？
how_much_have_you_drank,How much have you drank?,¿Cuánto ha bebido?,Quanto bebeu?,Quý vị đã uống bao nhiêu?,Vous avez bu quelle quantité?,액체 섭취는 얼마나 하셨습니까?,የጠጡት ምን ያህል ነው?,သင် ဘယ်လောက် သောက်ပြီးပြီလဲ။,كم مقدار الماء الذي شربته؟,您喝了多少水或者饮料？
have_you_used_the_bathroom,Have you used the bathroom?,¿Ha usado el baño?,Já usou o banheiro?,Quý vị đã đi vệ sinh chưa?,Avez-vous utilisé les toilettes?,화장실을 사용하셨습니까?,መታጠቢያ ቤቱን ተጠቅመዋል?,သန့်စင်ခန်း သုံးပြီးပြီလား။,هل استخدمت الحمام؟,您是否已用过卫生间？
has_the_bedding_been_changed,Has the bedding been changed?,¿Han cambiado las mantas de la cama?,A roupa de cama foi trocada?,Bộ đồ ga trải giường đã được thay chưa?,Est-ce que les draps ont été changée?,침구를 교체했습니까?,አልጋው ተለውጧል?,အိပ်ယာပြောင်းပြီးပြီလား။,هل تم تغيير الفراش؟,被褥换了吗？
you_can_only_have_ice_chips,You can only have ice chips right now.,Por ahora solo puede comer hielo picado.,Só pode ingerir pedacinhos de gelo no momento.,Quý vị chỉ được dùng đá bào lúc này.,On ne peut vous donner que des petits morceaux de glaçons pour le moment.,지금은 아이스칩만 드실 수 있습니다.,አሁን አይስ ቺፕስ ብቻ ነው ሊኖርዎት የሚችለው።,ယခုအချိန်တွင် ရေခဲတုံးလေးများသာ စားနိုင်ပါသည်။,يمكنك فقط تناول رقائق الثلج الآن.,您现在只能吃片状的冰块
you_cant_eat_right_now,You can't eat right now.,De momento no puede comer.,Não pode comer agora.,Quý vị không được ăn gì lúc này.,Vous ne pouvez pas manger pour le moment.,지금은 드실 수 없습니다.,አሁን መብላት አይችሉም።,သင် အခုချက်ချင်း စားလို့မရပါဘူး။,لا يمكنك أن تأكل الآن.,您现在不能进食。
you_need_to_stay_here_to_get_better,You need to stay here to get better.,Tiene que quedarse aquí para mejorarse.,Precisa ficar aqui para melhorar.,Quý vị cần phải ở lại đây để được khỏe hơn.,Vous avez besoin de rester ici pour aller mieux.,호전되시려면 여기에 머무셔야 합니다.,የተሻለ ለመሆን እዚህ መቆየት ያስፈልግዎታል።,သင်ပိုကောင်းလာဖို့ ဒီမှာပဲနေရပါမယ်။,تحتاج إلى البقاء هنا لتتحسن.,您需要呆在这里才能得到改善。
ill_get_something_for_you,I'll get something for you.,Le voy a traer algo.,Vou pegar alguma coisa para você.,Tôi sẽ lấy thứ gì đó cho quý vị.,Je vais vous chercher quelque chose.,뭘 좀 가져다 드리겠습니다.,የሆነ ነገር አመጣልዎታለሁ።,သင့်အတွက် ကျွန်ုပ်တစ်ခုခု ယူပေးပါ့မယ်။,سأطلب شيئًا لك.,我给您拿点东西。
ill_get_that_for_you,I'll get that for you.,Yo le traigo eso.,Vou buscar para você.,Tôi sẽ lấy cái đó cho quý vị.,Je vais aller chercher ça pour vous.,제가 가져다 드리겠습니다.,ያን ነገር አመጣልዎታለሁ።,သင့်အတွက် ဒါကို ယူပေးပါမယ်။,سأطلب ذلك لك.,我给您拿。
does_this_hurt,Does this hurt?,¿Esto le duele?,Está doendo?,Làm như thế này có đau không?,Est-ce que ça fait mal?,이렇게 하면 아프십니까?,ይህ ያማል?,နာကျင်ပါသလား။,هل هذا يؤلمك؟,这痛吗？
do_you_want_medicine,Do you want medicine?,¿Quieres medicina?,Quer tomar remédio?,Quý vị có muốn dùng thuốc không?,Voulez-vous des médicaments?,약을 원하십니까?,መድሃኒት ይፈልጋሉ?,ဆေးလိုချင်ပါသလား။,هل تريد الدواء؟,您要吃药吗？
im_getting_help,I'm getting help.,He pedido ayuda.,Vou pedir ajuda.,Tôi sẽ nhờ người giúp.,Je vais demander de l'aide.,도움을 요청하겠습니다.,እርዳታ እያገኘሁ ነው።,ကျွန်ုပ် အကူအညီယူနေပါတယ်။,أتلقى المساعدة.,我正在获取帮助。
im_working_to_help,I'm working to help.,Estoy intentando conseguir ayuda.,Estou tentando ajudar.,Tôi đang cố gắng giúp.,Je suis ici pour vous aider.,도와드리고 있습니다.,ለመርዳት እየሰራሁ ነው።,ကျွန်ုပ် ကူညီဖို့ လုပ်ဆောင်နေပါတယ်။,أعمل للمساعدة.,我正在努力提供帮助。
let_me_call_an_interpreter,Let me call an interpreter.,Déjeme llamar a un intérprete.,Vou chamar um intérprete.,Để tôi gọi thông dịch viên.,Permettez-moi d'appeler un interprète.,통역사를 부르겠습니다.,ወደ አስተርጓሚ ልደውል።,စကားပြန်ခေါ်လိုက်ဦးမယ်။,اسمح لي أن أطلب مترجمًا شفويًا.,我叫口译员过来。
doctor_is_here_today,Doctor is here today.,El doctor está aquí hoy.,O médico está aqui hoje.,Hôm nay bác sĩ có ở đây.,Le docteur est ici aujourd'hui.,오늘은 의사가 계십니다.,ዶክተር ዛሬ እዚህ አሉ።,ဒီ​နေ့ ဆရာဝန် ရှိပါတယ်။,الطبيب هنا اليوم.,今天医生在。
im_calling_the_doctor_for_you,I'm calling the doctor for you.,Estoy llamando al doctor por usted.,Vou chamar o médico para você.,Tôi đang gọi bác sĩ cho quý vị.,J'appelle le docteur pour vous.,의사를 부르겠습니다.,ዶክተሩን እየጠራሁልዎት ነው።,သင့်အတွက် ဆရာဝန်ခေါ်နေပါတယ်။,أتصل بالطبيب من أجلك.,我帮您叫医生。
waiting_for_doctor,Waiting for doctor.,Estoy esperando al doctor.,Vamos aguardar o médico.,Đang chờ bác sĩ.,Nous attendons le docteur.,의사를 기다리고 있습니다.,ዶክተርን እየጠበቁ ነው።,ဆရာဝန်ကို စောင့်နေပါတယ်။,في انتظار الطبيب.,正在等医生。
im_not_sure_ill_find_out,I'm not sure; I'll find out.,No lo sé; voy a averiguarlo.,Não sei; mas vou perguntar.,Tôi không chắc lắm tôi sẽ tìm hiểu.,Je ne suis pas sûr(e); je vais trouver.,잘 모르겠습니다. 알아보겠습니다.,እርግጠኛ አይደለሁም፣ አጣራለሁ።,မသေချာပါဘူး။ ကျွန်ုပ်စုံစမ်းကြည့်ပါမယ်။,لست متأكدًا، سأتبين ذلك.,我不太确定，我会查清楚的。
im_touching_to_check_on_you,I'm touching to check on you.,Voy a tocarle para ver si todo está bien.,Vou tocar para ver como você está.,Tôi đang chạm vào để kiểm tra quý vị.,Je vous touche pour vérifier comment vous allez.,확인하기 위해 만져보겠습니다.,እርስዎን ለማየት እየነካሁዎት ነው።,သင့်ကိုစစ်ဆေးဖို့ ကိုင်တွယ်ထိတွေ့ပါပြီ။,ألمسك للاطمئنان عليك.,我正在通过触摸对您进行检查。
someone_else_is_coming_in_to_help,Someone else is coming in to help.,Alguien más va a venir a ayudar.,Outra pessoa está chegando para ajudar.,Có người đang tới để giúp.,Quelqu'un va venir pour aider.,다른 사람이 와서 도와드릴겁니다.,ሌላ ሰው ለመርዳት እየመጣ ነው።,တခြားတစ်ဦးက ကူညီရန် လာနေပါတယ်။,شخص آخر سيأتي للمساعدة.,还有其他人会来帮忙。
my_number_is_on_the_board,My number is on the board.,Mi número está en la pizarra.,Meu número está no quadro.,Số của tôi ở trên bảng.,Mon numéro est sur la tablette.,제 번호는 게시판에 있습니다.,የእኔ ቁጥር ሰሌዳ ላይ አለ።,ကျွန်ုပ်နံပါတ်သည် ဘုတ်ပေါ်တွင်ရှိပါတယ်။,رقمي موجود على اللوحة.,我的号码写在板上。
dont_hesitate_to_call_on_me,Don't hesitate to call on me.,No dude en llamarme.,Pode me chamar.,Đừng ngần ngại gọi cho tôi.,N'hésitez pas à m'appeler.,주저하지 마시고 저를 부르십시오.,ለእኔ ለመደወል አያመንቱ።,ကျွန်ုပ်ကိုခေါ်ဖို့ တုံ့ဆိုင်းမနေပါနဲ့။,لا تتردد في الاتصال بي.,您可以随时打电话给我
do_you_need_anything_from_me,Do you need anything from me?,¿Necesita algo más?,Precisa de alguma coisa?,Quý vị có cần tôi việc gì không?,Avez-vous besoin d'autre chose de ma part?,제가 더 도와드릴 게 있습니까?,ከእኔ የሆነ ነገር ይፈልጋሉ?,ကျွန်ုပ်ဆီက တစ်ခုခုလိုပါသေးလား။,هل تحتاج أي شيء مني؟,我能为您提供些什么吗？
can_i_get_you_anything_water,Can I get you anything? water?,¿Puedo traerle algo? ¿Agua quizás?,Posso buscar alguma coisa? Água?,Quý vị có muốn tôi lấy cho quý vị cái gì không? như nước chẳng hạn?,Est-ce que je peux vous donner quelque-chose? de l'eau?,물이나 뭐를 좀 갖다 드릴까요?,ምን ላምጣልዎ፣ ውሃ?,သင့်ကို တစ်ခုခုယူပေးရမလား၊ ရေ ယူပေးရမလား။,هل يمكنني أن أحضر لك أي شيء، الماء؟,您需要我给您拿什么吗？要水吗？
ill_be_right_back,I'll be right back.,Ahora vuelvo.,Já volto.,Tôi sẽ trở lại ngay.,Je reviens rapidement.,곧 돌아오겠습니다.,ቶሎ እመለሳለዉ።,ကျွန်ုပ်ပြန်လာခဲ့မယ်။,سأعود حالا.,我马上回来。
im_leaving_now,I'm leaving now.,Me voy ahora.,Estou indo embora.,Tôi đi đây.,Je pars maintenant.,저는 그럼 이만 가보겠습니다.,አሁን እየሄድኩ ነው።,ကျွန်ုပ်သွားပါတော့မယ်။,سأغادر الآن.,我要走了。
_30_mins,30 mins.,30 minutos.,Trinta minutos.,30 phút.,30 min.,30분.,30 ደቂቃ።,မိနစ် 30,30 دقيقة.,30 分钟。
_1_hour,1 hour.,1 hora.,Uma hora.,1 tiếng đồng hồ.,1 heure.,1시간.,1 ሰዓት።,1 နာရီ။,ساعة.,1 小时。
_2_hours,2 hours.,2 horas.,Duas horas.,2 tiếng đồng hồ.,2 heures.,2시간.,2 ሰዓታት።,2 နှစ်ရီ။,ساعتان.,2 小时。
_4_hours,4 hours.,4 horas.,Quatro horas.,4 tiếng đồng hồ.,4 heures.,4시간.,4 ሰዓታት።,4 နာရီ။,4 ساعات.,4 小时。
_8_hours,8 hours.,8 horas.,Oito horas.,8 tiếng đồng hồ.,8 heures.,8시간.,8 ሰዓታት።,8 နာရီ။,8 ساعات.,8 小时。
after_breakfast,After breakfast.,Después del desayuno.,Depois do café da manhã.,Sau bữa sáng.,Après le petit-déjeuner.,아침 식사 후에.,ከቁርስ በኋላ።,မနက်စာစားပြီးနောက်။,بعد الفطور.,早饭后。
after_lunch,After lunch.,Después del almuerzo.,Depois do almoço.,Sau bữa trưa.,Après le repas de midi.,점심 식사 후에.,ከምሳ በኋላ።,နေ့လည်စာစားပြီး။,بعد الغداء.,午饭后。
after_dinner,After dinner.,Después de la cena.,Depois do jantar.,Sau bữa tối.,Après le repas du soir.,저녁 식사 후에.,ከዕራት በኋላ።,ညစာစားအပြီး။,بعد العشاء.,晚饭后。
after_surgery,After surgery.,Después de cirugía.,Depois da cirurgia.,Sau phẫu thuật.,Après la chirurgie.,수술 후에.,ከቀዶ ጥገና በኋላ።,ခွဲစိတ်ပြီးနောက်။,بعد الجراحة.,手术后。
after_the_test,After the test.,Después del test.,Depois do exame.,Sau xét nghiệm.,Après le test.,검사 후에.,ከምርመራ በኋላ።,စမ်းသပ်ပြီးနောက်။,بعد الاختبار.,检查后。
occupational_therapy,I am from occupational therapy.,Soy de terapia ocupacional.,Sou da área de terapia ocupacional.,Tôi đến từ ban trị liệu chức năng hoạt động.,Je viens du service d'ergothérapie.,저는 작업 치료 소속입니다.,እኔ የመጣሁት ከስራ ቴራፒ ነው።,ကျွန်ုပ်သည် လုပ်ငန်းခွင်ကုထုံးမှ ဖြစ်သည်။,أنا متخصص علاج وظيفي.,我是职业治疗师。
physical_therapy,I am from physical therapy.,Soy de fisioterapia.,Sou da área de fisioterapia.,Tôi đến từ ban vật lý trị liệu.,Je viens du service de kinésithérapie.,저는 물리 치료 소속입니다.,እኔ የመጣሁት ከአካላዊ ቴራፒ ነው።,ကျွန်ုပ်သည် ရုပ်ပိုင်းဆိုင်ရာကုထုံးမှ ဖြစ်သည်။,أنا متخصص علاج طبيعي.,我是物理治疗师。
speech_therapy,I am from speech therapy.,Soy de terapia del habla.,Sou da área de fonoaudiologia.,Tôi đến từ ban trị liệu âm ngữ.,Je viens du service d'orthophonie.,저는 언어 치료 소속입니다.,እኔ የመጣሁት ከንግግር ቴራፒ ነው።,ကျွန်ုပ်သည် စကားပြောကုထုံးမှ ဖြစ်သည်။,أنا متخصص علاج النطق.,我是言语治疗师。
waiting_for_an_interpreter,We are waiting for an interpreter.,Estamos esperando a un intérprete.,Estamos esperando um intérprete.,Chúng tôi đang chờ thông dịch viên.,Nous attendons l'interprète.,통역사를 기다리고 있습니다.,አስተርጓሚ እየጠበቅን ነው።,ကျွန်ုပ်တို့ စကားပြန်ကို စောင့်နေကြပါတယ်။,نحن في انتظار المترجم الشفوي.,我们在等口译员。
good_time_for_therapy,Would now be a good time for therapy?,¿Sería ahora un buen momento para la terapia?,Agora é um bom momento para fazer a terapia?,Bây giờ có phải là thời điểm thích hợp để trị liệu không?,Est-ce un bon moment pour faire la thérapie?,지금 치료를 해도 되겠습니까?,አሁን ለቴራፒ ጥሩ ጊዜ ይሆናል?,ဘယ်အချိန်ဟာ ကုသမှုအတွက် အချိန်ကောင်းဖြစ်မလဲ။,هل الوقت مناسب الآن للعلاج؟,我们现在开始进行治疗可以吗？
therapy_in_the_morning,Would you prefer to have therapy in the morning?,¿Prefiere tener terapia por la mañana?,Prefere fazer terapia pela manhã?,Quý vị có muốn trị liệu vào buổi sáng không?,Préféreriez-vous faire la thérapie le matin?,아침에 치료받기를 원하십니까?,ጠዋት ላይ ቴራፒ ማግኘት ይፈልጋሉ?,ကုထုံးကို မနက်ခင်းမှာ လိုချင်ပါသလား။,هل تُفضل الحصول على العلاج في الصباح؟,您想在早上接受治疗吗？
therapy_in_the_afternoon,Would you prefer to have therapy in the afternoon?,¿Prefiere tener terapia por la tarde?,Prefere fazer terapia à tarde?,Quý vị có muốn trị liệu vào buổi chiều không?,Préféreriez-vous faire la thérapie l'après-midi?,오후에 치료받기를 원하십니까?,ከሰዓት በኋላ ቴራፒ ማግኘት ይፈልጋሉ?,ကုသမှုကို နေ့ခင်းဘက်မှာ လိုချင်ပါသလား။,هل تُفضل الحصول على العلاج في فترة ما بعد الظهر؟,您想在下午接受治疗吗？
observe_child_eating,I would like to see how your child eats.,Me gustaría ver cómo su hijo/a come.,Gostaria de ver como a criança se alimenta.,Tôi muốn xem con quý vị ăn như thế nào.,J'aimerais voir comment votre enfant mange.,아이가 어떻게 먹는지 보고 싶습니다.,ልጅዎ እንዴት እንደሚመገብ ማየት እፈልጋለሁ።,သင့်ကလေး ဘယ်လိုအစာစားလဲ ကြည့်ချင်ပါတယ်။,أود أن أرى كيف يأكل طفلك.,我想看看您孩子的进食情况。
