Variable Names,English,Spanish,Portuguese (Brazilian),Vietnamese,French,Korean,,,,
this_is_normal,This is normal.,Esto es normal.,Isso é normal.,Việc này là bình thường. ,C’est normal.,정상입니다.,,,,
i_am_done,I am done!,¡Ya acabé!,Acabei!,Tôi đã làm xong! ,C’est fait !,다 됐습니다!,,,,
how_are_you_feeling,How are you feeling?,¿Cómo se siente?,Como está se sentindo?,Quý vị cảm thấy như thế nào? ,Comment vous sentez-vous ?,상태는 어떠십니까?,,,,
everything_is_okay,Everything is okay.,Todo está bien.,Tudo está em ordem.,Mọi thứ đều ổn. ,Tout va bien.,모두 괜찮습니다.,,,,
this_shouldnt_hurt,This shouldn't hurt.,Esto no debería doler.,Não deve machucar.,Làm như thế này sẽ không gây đau. ,Cela ne devrait pas faire mal.,이것은 아프지 않습니다.,,,,
here_is_the_menu,Here is the menu.,Aquí está el menú.,Aqui está o cardápio.,Đây là thực đơn. ,Voici le menu.,여기 메뉴가 있습니다.,,,,
_have_you_eaten,Have you eaten?,¿Ha comido?,Comeu alguma coisa?,Quý vị đã ăn chưa?,Avez-vous mangé ?,식사를 하셨습니까?,,,,
_what_have_you_eaten,What have you eaten?,¿Qué ha comido?,O que comeu?,Quý vị đã ăn gì? ,Qu’avez-vous mangé ?,무엇을 드셨습니까?,,,,
have_you_drank,Have you drank?,¿Ha bebido?,Bebeu alguma coisa?,Quý vị đã uống chưa? ,Avez-vous bu ?,술을 드셨습니까?,,,,
how_much_have_you_drank,How much have you drank?,¿Cuánto ha bebido?,Quanto bebeu?,Quý vị đã uống bao nhiêu? ,Vous avez bu quelle quantité ?,액체 섭취는 얼마나 하셨습니까?,,,,
have_you_used_the_bathroom,Have you used the bathroom?,¿Ha usado el baño?,Já usou o banheiro?,Quý vị đã đi vệ sinh chưa? ,Avez-vous utilisé les toilettes ?,화장실을 사용하셨습니까?,,,,
has_the_bedding_been_changed,Has the bedding been changed?,¿Han cambiado las mantas de la cama?,A roupa de cama foi trocada?,Bộ đồ ga trải giường đã được thay chưa?,Est-ce que les draps ont été changée ?,침구를 교체했습니까?,,,,
